73,FF0B,0206,2B06,3806,8006
0C,0C68,062D,0639,0680,0674
0C,0C69,062B,0638,0680,0673
0C,0C6A,062B,0638,067F,0673
0C,0C6B,062D,063B,0681,0675
0C,0C6C,062E,063B,0682,0676
0C,0C6D,062D,063A,0681,0674
0C,0C6E,062C,0638,0680,0673
0C,0C6F,062B,0638,067F,0673
0C,0C70,062D,063B,0681,0675
0C,0C71,062E,063C,0682,0675
0C,0C72,062C,063A,0681,0675
0C,0C73,062B,0639,0680,0673
0C,0C74,062B,0638,0680,0673
0C,0C75,062D,063B,0681,0675
0C,0C76,062E,063C,0682,0676
0C,0C77,062D,063A,0680,0674
0C,0C78,062B,0638,0680,0673
0C,0C79,062B,0638,067F,0672
0C,0C7A,062D,063A,0681,0675
0C,0C7B,062E,063B,0681,0676
0C,0C7C,062C,063A,0680,0674
0C,0C7D,062B,0638,0680,0673
0C,0C7E,062A,0638,0680,0673
0C,0C7F,062E,063A,0681,0675
0C,0C80,062E,063C,0682,0676
0C,0C81,062D,063A,0681,0675
0C,0C82,062B,0639,0680,0673
0C,0C83,062B,0638,067F,0673
0C,0C84,062C,063B,0681,0675
0C,0C85,062D,063C,0682,0675
0C,0C86,062D,0639,0681,0675
0C,0C87,062B,0638,0680,0673
0C,0C88,062A,0638,0680,0673
0C,0C89,062C,063B,0681,0675
0C,0C8A,062D,063B,0682,0676
0C,0C8B,062C,063A,0681,0674
0C,0C8C,062B,0638,0680,0673
0C,0C8D,062B,0638,067F,0673
0C,0C8E,062D,063B,0682,0675
0C,0C8F,062E,063C,0682,0675
0C,0C90,062C,063A,0681,0674
0C,0C91,062B,0639,0680,0673
0C,0C92,062B,0638,067F,0672
0C,0C93,062D,063B,0680,0674
0C,0C94,062D,063C,0681,0675
0C,0C95,062C,0639,0680,0674
0C,0C96,062B,0638,0680,0672
0C,0C97,062A,0638,067F,0672
0C,0C98,062D,063B,0681,0674
0C,0C99,062D,063C,0682,0675
0C,0C9A,062C,063A,0680,0674
0C,0C9B,062B,0638,0680,0672
0C,0C9C,062A,0638,067F,0673
0C,0C9D,062D,063B,0681,0675
0C,0C9E,062E,063C,0681,0675
0C,0C9F,062C,0639,0681,0674
0C,0CA0,062B,0639,0680,0672
0C,0CA1,062B,0638,067F,0672
0C,0CA2,062D,063A,0681,0674
0C,0CA3,062D,063C,0682,0675
0C,0CA4,062C,063A,0681,0674
0C,0CA5,062B,0637,0680,0673
0C,0CA6,062B,0638,067F,0673
0C,0CA7,062D,063B,0681,0675
0C,0CA8,062E,063B,0681,0676
0C,0CA9,062C,063A,0681,0675
0C,0CAA,062C,0639,0680,0673
0C,0CAB,062B,0638,067F,0672
0C,0CAC,062D,063B,0681,0674
0C,0CAD,062E,063C,0681,0675
0C,0CAE,062D,063A,0681,0674
0C,0CAF,062C,0639,067F,0673
0C,0CB0,062B,0638,067F,0673
0C,0CB1,062E,063C,0681,0674
0C,0CB2,062E,063C,0682,0676
0C,0CB3,062D,063A,0681,0674
0C,0CB4,062C,0638,0680,0673
0C,0CB5,062B,0638,0680,0673
0C,0CB6,062E,063B,0681,0674
0C,0CB7,062E,063C,0682,0676
0C,0CB8,062C,063A,0681,0674
0C,0CB9,062C,0639,0680,0673
0C,0CBA,062B,0638,067F,0673
0C,0CBB,062D,063B,0681,0674
0C,0CBC,062E,063C,0681,0675
0C,0CBD,062D,063A,0681,0675
0C,0CBE,062B,0638,0680,0673
0C,0CBF,062B,0638,067F,0672
0C,0CC0,062D,063A,0680,0675
0C,0CC1,062E,063B,0681,0675
0C,0CC2,062D,063A,0680,0673
0C,0CC3,062C,0638,067F,0672
0C,0CC4,062B,0638,067F,0673
0C,0CC5,062D,063B,0681,0675
0C,0CC6,062E,063B,0681,0675
0C,0CC7,062C,0639,0681,0674
0C,0CC8,062B,0639,0680,0673
0C,0CC9,062B,0638,067F,0672
0C,0CCA,062D,063B,0681,0674
0C,0CCB,062E,063C,0681,0676
0C,0CCC,062D,063A,0680,0674
0C,0CCD,062B,0638,067F,0673
0C,0CCE,062B,0638,067F,0672
0C,0CCF,062D,063A,0681,0675
0C,0CD0,062D,063B,0681,0676
0C,0CD1,062D,063A,0680,0673
0C,0CD2,062B,0638,067F,0673
0C,0CD3,062B,0638,067F,0672
